Disease,Medication
Fungal Infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']"
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']"
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']"
Chronic Cholestasis,"['Ursodeoxycholic Acid', 'Choleretic Agents', 'Vitamin K', 'Rifampicin', 'S-Adenosylmethionine']"
Drug Reaction,"['Antihistamines', 'Corticosteroids', 'Emollients', 'Calcineurin Inhibitors', 'Supportive Care']"
Peptic Ulcer Disease,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Antibiotics (for H. pylori)', 'Cytoprotective Agents']"
AIDS,"['Antiretroviral Therapy (ART)', 'Nucleoside Reverse Transcriptase Inhibitors', 'Protease Inhibitors', 'Non-Nucleoside Reverse Transcriptase Inhibitors', 'Integrase Inhibitors']"
Diabetes,"['Metformin', 'Sulfonylureas', 'DPP-4 Inhibitors', 'GLP-1 Receptor Agonists', 'Insulin']"
Gastroenteritis,"['Oral Rehydration Salts (ORS)', 'Antiemetics', 'Antidiarrheals', 'Zinc Supplements', 'Probiotics']"
Bronchial Asthma,"['Inhaled Corticosteroids', 'Beta2-Agonists', 'Leukotriene Modifiers', 'Theophylline', 'Combination Inhalers']"
Hypertension,"['ACE Inhibitors', 'Beta Blockers', 'Calcium Channel Blockers', 'Diuretics', 'Angiotensin II Receptor Blockers (ARBs)']"
Migraine,"['Triptans', 'NSAIDs', 'Ergot Alkaloids', 'Anti-emetics', 'Beta Blockers (for prevention)']"
Cervical Spondylosis,"['NSAIDs', 'Muscle Relaxants', 'Analgesics', 'Topical NSAIDs', 'Corticosteroids']"
Paralysis (Brain Hemorrhage),"['Osmotic Diuretics', 'Antihypertensives', 'Antiepileptics', 'Neuroprotectants', 'Analgesics']"
Jaundice,"['Ursodeoxycholic Acid', 'Choleretic Agents', 'Vitamin K', 'Antioxidants', 'Hepatoprotective Agents']"
Malaria,"['Artemisinin-based Combination Therapies (ACTs)', 'Chloroquine', 'Mefloquine', 'Primaquine', 'Atovaquone-Proguanil']"
Chickenpox,"['Antiviral Agents (Acyclovir)', 'Antihistamines', 'Analgesics', 'Calamine Lotion', 'Antipyretics']"
Dengue,"['Oral Rehydration Solutions', 'Analgesics (Paracetamol)', 'Antipyretics', 'Fluid Replacement Therapy', 'Monitoring']"
Typhoid,"['Ceftriaxone', 'Fluoroquinolones', 'Azithromycin', 'Ampicillin', 'Trimethoprim-Sulfamethoxazole']"
Hepatitis A,"['Supportive Care', 'Antiemetics', 'IV Fluids', 'Antipyretics', 'Hepatoprotective Agents']"
Hepatitis B,"['Antiviral Agents (e.g., Tenofovir)', 'Interferon', 'Lamivudine', 'Adefovir', 'Entecavir']"
Hepatitis C,"['Direct-Acting Antivirals (DAAs)', 'Sofosbuvir', 'Ledipasvir', 'Ribavirin', 'Interferon']"
Hepatitis D,"['Interferon', 'Antiviral Agents', 'Supportive Care', 'Hepatoprotective Agents', 'Nucleos(t)ide Analogs']"
Hepatitis E,"['Supportive Care', 'Antiemetics', 'IV Fluids', 'Hepatoprotective Agents', 'Antiviral Agents (in severe cases)']"
Alcoholic Hepatitis,"['Corticosteroids', 'Pentoxifylline', 'Nutritional Supplements', 'Antioxidants', 'Liver Protective Agents']"
Tuberculosis,"['Isoniazid', 'Rifampicin', 'Pyrazinamide', 'Ethambutol', 'Streptomycin']"
Common Cold,"['Decongestants', 'Antihistamines', 'Cough Suppressants', 'Analgesics', 'Vitamin C']"
Pneumonia,"['Antibiotics', 'Antipyretics', 'Mucolytics', 'Cough Suppressants', 'Bronchodilators']"
Dimorphic Hemorrhoids (Piles),"['Topical Agents', 'Fiber Supplements', 'Sitz Baths', 'Stool Softeners', 'Venotonic Agents']"
Heart Attack,"['Aspirin', 'Beta Blockers', 'ACE Inhibitors', 'Statins', 'Anticoagulants']"
Varicose Veins,"['Venoactive Agents', 'NSAIDs', 'Phlebotonics', 'Anticoagulants', 'Topical Agents']"
Hypothyroidism,"['Levothyroxine', 'Liothyronine', 'Thyroxine Sodium', 'Thyroid Tablets', 'Combined T4/T3 Therapy']"
Hyperthyroidism,"['Methimazole', 'Propylthiouracil', 'Beta Blockers', 'Radioactive Iodine Therapy', 'Corticosteroids']"
Hypoglycemia,"['Glucose Tablets', 'Glucagon', 'Dextrose Injection', 'Oral Glucose Solutions', 'Glucose Gel']"
Osteoarthritis,"['Analgesics (Acetaminophen)', 'NSAIDs', 'Topical Creams', 'Corticosteroid Injections', 'Glucosamine Supplements']"
Arthritis,"['NSAIDs', 'Corticosteroids', 'Methotrexate', 'Biologic Agents', 'Analgesics']"
Paroxysmal Positional Vertigo,"['Meclizine', 'Antihistamines', 'Benzodiazepines', 'Vestibular Suppressants', 'Antiemetics']"
Acne,"['Topical Retinoids', 'Benzoyl Peroxide', 'Antibiotics', 'Oral Contraceptives', 'Isotretinoin']"
Urinary Tract Infection,"['Nitrofurantoin', 'Trimethoprim-Sulfamethoxazole', 'Fluoroquinolones', 'Beta-lactams', 'Phenazopyridine']"
Psoriasis,"['Topical Corticosteroids', 'Vitamin D Analogues', 'Retinoids', 'Methotrexate', 'Biologic Agents']"
Impetigo,"['Topical Antibiotics (Mupirocin)', 'Oral Antibiotics (Dicloxacillin)', 'Cephalexin', 'Bacitracin', 'Fusidic Acid']"
Fever,"['Paracetamol', 'Ibuprofen', 'Aspirin', 'Diclofenac', 'Naproxen']"
Headache,"['Analgesics (Acetaminophen)', 'NSAIDs', 'Triptans', 'Beta Blockers (for prevention)', 'Antidepressants (for prevention)']"
Muscle Fatigue,"['Vitamin B Complex', 'Electrolyte Solutions', 'Magnesium Supplements', 'Coenzyme Q10', 'Analgesics']"
Flu,"['Antiviral Agents (Oseltamivir)', 'Antipyretics', 'Cough Suppressants', 'Decongestants', 'Hydration Therapy']"
Food Poisoning,"['Oral Rehydration Solutions', 'Antiemetics', 'Antidiarrheals', 'Probiotics', 'IV Fluids']"
COVID-Like Illness,"['Antipyretics', 'Antiviral Agents', 'Corticosteroids', 'Bronchodilators', 'Supportive Care Agents']"
Sinusitis,"['Decongestants', 'Nasal Corticosteroids', 'Antibiotics', 'Antihistamines', 'Saline Nasal Spray']"
Allergic Rhinitis,"['Antihistamines', 'Nasal Corticosteroids', 'Decongestants', 'Leukotriene Receptor Antagonists', 'Immunotherapy']"
Strep Throat,"['Penicillin', 'Amoxicillin', 'Analgesics', 'Antipyretics', 'Corticosteroids']"
Tonsillitis,"['Antibiotics', 'Analgesics', 'Antipyretics', 'Corticosteroids', 'Throat Lozenges']"
Anemia,"['Iron Supplements', 'Vitamin B12', 'Folic Acid', 'Erythropoietin', 'Vitamin C']"
Bronchitis,"['Antibiotics (if bacterial)', 'Cough Suppressants', 'Bronchodilators', 'Expectorants', 'Analgesics']"
Dehydration,"['Oral Rehydration Solutions', 'IV Fluids', 'Electrolyte Solutions', 'Saline Infusions', 'Glucose-Electrolyte Mix']"
Heat Exhaustion,"['IV Fluids', 'Oral Rehydration Salts', 'Electrolyte Solutions', 'Acetaminophen', 'NSAIDs']"
Insomnia,"['Melatonin', 'Sedative-Hypnotics', 'Antidepressants (for sleep aid)', 'Antihistamines (short-acting)', 'Herbal Sleep Aids']"
Anxiety Disorder,"['SSRIs', 'SNRIs', 'Benzodiazepines', 'Buspirone', 'Beta Blockers']"
Food Allergy,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Leukotriene Receptor Antagonists', 'Immunotherapy']"
Lactose Intolerance,"['Lactase Enzyme Supplements', 'Calcium Supplements', 'Probiotics', 'Antispasmodics', 'Dietary Adjustments']"
Acid Reflux,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Alginate-based Formulations']"